headx,heady,foodx,foody
315.5,472.5,252.0,567.0
315.5,472.5,252.0,567.0
315.5,472.5,252.0,567.0
315.5,472.5,252.0,567.0
315.5,441.5,252.0,567.0
284.5,441.5,252.0,567.0
253.5,441.5,252.0,567.0
253.5,472.5,252.0,567.0
253.5,503.5,252.0,567.0
253.5,534.5,252.0,567.0
253.5,565.5,252.0,567.0
222.5,565.5,31.5,504.0
191.5,565.5,31.5,504.0
160.5,565.5,31.5,504.0
129.5,565.5,31.5,504.0
98.5,565.5,31.5,504.0
67.5,565.5,31.5,504.0
36.5,565.5,31.5,504.0
36.5,534.5,31.5,504.0
36.5,503.5,31.5,504.0
67.5,503.5,472.5,598.5
98.5,503.5,472.5,598.5
129.5,503.5,472.5,598.5
160.5,503.5,472.5,598.5
191.5,503.5,472.5,598.5
222.5,503.5,472.5,598.5
253.5,503.5,472.5,598.5
284.5,503.5,472.5,598.5
315.5,503.5,472.5,598.5
346.5,503.5,472.5,598.5
377.5,503.5,472.5,598.5
408.5,503.5,472.5,598.5
439.5,503.5,472.5,598.5
470.5,503.5,472.5,598.5
470.5,534.5,472.5,598.5
470.5,565.5,472.5,598.5
470.5,596.5,472.5,598.5
439.5,596.5,63.0,283.5
408.5,596.5,63.0,283.5
377.5,596.5,63.0,283.5
346.5,596.5,63.0,283.5
315.5,596.5,63.0,283.5
284.5,596.5,63.0,283.5
253.5,596.5,63.0,283.5
222.5,596.5,63.0,283.5
191.5,596.5,63.0,283.5
160.5,596.5,63.0,283.5
129.5,596.5,63.0,283.5
98.5,596.5,63.0,283.5
67.5,596.5,63.0,283.5
67.5,565.5,63.0,283.5
67.5,534.5,63.0,283.5
67.5,503.5,63.0,283.5
67.5,472.5,63.0,283.5
67.5,441.5,63.0,283.5
67.5,410.5,63.0,283.5
67.5,379.5,63.0,283.5
67.5,348.5,63.0,283.5
67.5,317.5,63.0,283.5
67.5,286.5,63.0,283.5
98.5,286.5,598.5,504.0
129.5,286.5,598.5,504.0
160.5,286.5,598.5,504.0
191.5,286.5,598.5,504.0
222.5,286.5,598.5,504.0
253.5,286.5,598.5,504.0
284.5,286.5,598.5,504.0
315.5,286.5,598.5,504.0
346.5,286.5,598.5,504.0
377.5,286.5,598.5,504.0
408.5,286.5,598.5,504.0
439.5,286.5,598.5,504.0
470.5,286.5,598.5,504.0
501.5,286.5,598.5,504.0
532.5,286.5,598.5,504.0
563.5,286.5,598.5,504.0
594.5,286.5,598.5,504.0
594.5,317.5,598.5,504.0
594.5,348.5,598.5,504.0
594.5,379.5,598.5,504.0
594.5,410.5,598.5,504.0
594.5,441.5,598.5,504.0
594.5,472.5,598.5,504.0
594.5,503.5,598.5,504.0
563.5,503.5,63.0,409.5
532.5,503.5,63.0,409.5
501.5,503.5,63.0,409.5
470.5,503.5,63.0,409.5
439.5,503.5,63.0,409.5
408.5,503.5,63.0,409.5
377.5,503.5,63.0,409.5
346.5,503.5,63.0,409.5
315.5,503.5,63.0,409.5
284.5,503.5,63.0,409.5
253.5,503.5,63.0,409.5
222.5,503.5,63.0,409.5
191.5,503.5,63.0,409.5
160.5,503.5,63.0,409.5
129.5,503.5,63.0,409.5
98.5,503.5,63.0,409.5
67.5,503.5,63.0,409.5
67.5,472.5,63.0,409.5
67.5,441.5,63.0,409.5
67.5,410.5,63.0,409.5
98.5,410.5,567.0,63.0
129.5,410.5,567.0,63.0
160.5,410.5,567.0,63.0
191.5,410.5,567.0,63.0
222.5,410.5,567.0,63.0
253.5,410.5,567.0,63.0
284.5,410.5,567.0,63.0
315.5,410.5,567.0,63.0
346.5,410.5,567.0,63.0
377.5,410.5,567.0,63.0
408.5,410.5,567.0,63.0
439.5,410.5,567.0,63.0
470.5,410.5,567.0,63.0
501.5,410.5,567.0,63.0
532.5,410.5,567.0,63.0
563.5,410.5,567.0,63.0
563.5,379.5,567.0,63.0
563.5,348.5,567.0,63.0
563.5,317.5,567.0,63.0
563.5,286.5,567.0,63.0
563.5,255.5,567.0,63.0
563.5,224.5,567.0,63.0
563.5,193.5,567.0,63.0
563.5,162.5,567.0,63.0
563.5,131.5,567.0,63.0
563.5,100.5,567.0,63.0
563.5,69.5,567.0,63.0
532.5,69.5,220.5,283.5
501.5,69.5,220.5,283.5
470.5,69.5,220.5,283.5
439.5,69.5,220.5,283.5
408.5,69.5,220.5,283.5
377.5,69.5,220.5,283.5
346.5,69.5,220.5,283.5
315.5,69.5,220.5,283.5
284.5,69.5,220.5,283.5
